track_name,artist_name,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
Light On In The Kitchen,Ashley McBryde,"['arkansas country', 'contemporary country', 'country', 'country road']",0.629,0.548,-7.694,0.0334,0.471,2.21e-05,0.582,165.931
Burn It Down,Parker McCollum,"['classic texas country', 'texas country']",0.461,0.718,-5.627,0.0666,0.139,1.66e-05,0.334,162.187
IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini,"['contemporary country', 'country']",0.676,0.856,-4.35,0.0393,0.454,0.0,0.965,144.092
Creek Will Rise,Conner Smith,['modern country pop'],0.423,0.887,-2.97,0.0537,0.0362,0.0,0.892,169.975
We Ride,Bryan Martin,['modern country pop'],0.62,0.706,-4.176,0.0251,0.0755,7.78e-06,0.591,81.989
Nobody's Nobody,Brothers Osborne,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",0.58,0.755,-6.239,0.0264,0.0358,0.113,0.651,94.905
Shoot Tequila,Tigirlily Gold,['north dakota indie'],0.595,0.876,-3.859,0.0377,0.207,0.0,0.871,152.022
Memory Lane,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",0.645,0.8,-4.272,0.0363,0.0189,1.12e-05,0.375,118.977
But I Got A Beer In My Hand,Luke Bryan,"['contemporary country', 'country', 'country road']",0.404,0.788,-4.355,0.0535,0.00518,1.71e-06,0.608,208.138
Standing Room Only,Tim McGraw,"['contemporary country', 'country', 'country road']",0.475,0.789,-6.124,0.038,0.17,0.0,0.485,155.227
Tennessee Orange,Megan Moroney,['modern country pop'],0.38,0.488,-6.637,0.029,0.126,7.23e-06,0.268,156.031
Love You Again,Chase Matthew,['modern country pop'],0.564,0.823,-5.319,0.0297,0.214,0.0,0.472,132.113
Drinkaby,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",0.593,0.918,-2.985,0.0671,0.00413,0.0,0.872,123.941
Drive You Out Of My Mind,Kassi Ashton,['country pop'],0.661,0.933,-2.503,0.0656,0.0185,3.28e-06,0.741,123.035
Dance With You,Brett Young,"['contemporary country', 'country', 'country road']",0.546,0.509,-6.683,0.0297,0.222,8.02e-06,0.525,169.875
Pretty Little Poison,Warren Zeiders,['modern country pop'],0.518,0.557,-4.839,0.0332,0.0258,2.46e-06,0.216,111.865
God Gave Me A Girl,Russell Dickerson,"['contemporary country', 'country', 'country road', 'modern country rock']",0.518,0.845,-5.051,0.0647,0.249,0.0,0.37,142.133
I'll Be Lovin' You,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']",0.6,0.748,-5.565,0.0366,0.121,0.0552,0.825,135.057
Angels (Don’t Always Have Wings),Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",0.527,0.598,-4.257,0.0283,0.063,0.000153,0.23,66.041
Something's Gonna Kill Me,Corey Kent,"['modern country pop', 'texas country']",0.659,0.823,-5.77,0.0415,0.0174,1.82e-06,0.405,112.931
LALA,Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",0.708,0.737,-4.045,0.0436,0.0739,0.00162,0.607,91.986
WHERE SHE GOES,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",0.652,0.8,-4.019,0.0614,0.143,0.629,0.234,143.978
La Bebe - Remix,Yng Lvcas,['reggaeton'],0.812,0.479,-5.678,0.333,0.213,1.21e-06,0.559,169.922
BABY HELLO,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.773,0.892,-3.732,0.0483,0.166,3.1e-06,0.842,130.007
Ella Baila Sola,Eslabon Armado,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",0.668,0.758,-5.176,0.0332,0.483,1.89e-05,0.834,147.989
Classy 101,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.859,0.658,-4.79,0.159,0.145,0.0,0.672,100.065
MOJABI GHOST,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",0.805,0.707,-3.758,0.0353,0.142,3.71e-05,0.744,122.014
El Cielo,Sky Rompiendo,['urbano latino'],0.715,0.642,-7.492,0.0515,0.0687,0.0,0.169,105.964
TULUM,Peso Pluma,['sad sierreno'],0.557,0.866,-4.454,0.0503,0.394,0.0,0.631,167.767
